Id,description
610,"Statistiche anno 23/24: nella scorsa stagione Gollini è andato a voto in 7 occasioni, tutte da titolare. Per lui 8 gol subiti con una MV del 6.00 e una FM del 4.86.
Gestione al Fantacalcio: dovrebbe finalmente essere protagonista con continuità in Serie A. Portiere affidabile sotto diversi punti di vista che può mettere in mostra le proprie qualità da nuovo numero uno del Genoa. Al Fantacalcio può essere una discreta alternativa di copertura al vostro top di ruolo, o magari il classico portiere di medio livello da alternare con altri due estremi difensori dalla ""categoria"" simile.
Note positive: portiere affidabile anche per il mod e che grazie alla filosofia di Gilardino potrebbe portare a casa diversi clean sheet.
Note negative: non è un top, sia per clean sheet che per il modificatore. Va bene come alternativa, ma probabilmente può essere un rischio prenderlo come titolare di riferimento."
2521,"Statistiche anno 23/24: nella scorsa stagione De Gea non ha disputato neanche una partita essendo svincolato.
Gestione al Fantacalcio: dopo un anno di inattività l'estremo difensore spagnolo si mette in gioco accettando la Fiorentina, dove arriva ovviamente per ricoprire il ruolo di numero 1. Al Fantacalcio stuzzica la fantasia di molti essendo un profilo di caratura mondiale. Prima scelta assoluta? Non possiamo paragonarlo ai top, ragion per cui vi consigliamo di affiancarlo ad un portiere di una squadra di livello leggermente inferiore, ma comunque affidabile.
Note positive: portiere da modificatore, prezzo non altissimo.
Note negative: l'anno di inattività potrebbe incidere, leggermente altalenante nelle ultime stagioni allo United. Occhio alla concorrenza con Terracciano con cui potrebbe alternarsi stabilmente."
2134,"Statistiche anno 23/24: nella scorsa stagione Piccoli è andato a voto in 38 occasioni, tutte da titolare. Per lui 54 gol subiti e 1 rigore sbagliato una MV del 6.25 e una FM del 4.91.
Gestione al Fantacalcio: anche nella prossima stagione sarà il portiere titolare del Lecce. Un estremo difensore affidabile sotto molti punti di vista. Si può affiancare sia ad una coppia di una top squadra, sia si può alternare a due di livello simile o leggermente più alto.
Note positive: classico portiere da modificatore (11 volte sopra la sufficienza, appena 3 volte sotto il 6).
Note negative: con un 4231 sulla carta di stampo offensivo potrebbe arrivare un bottino di gol subiti molto simile alla scorsa stagione."
574,"Statistiche anno 23/24: nella scorsa stagione Scuffet è andato a voto in 31 occasioni, tutte da titolare. Per lui 55 gol, e 3 ammonizioni con una MV del 6.13 e una FM del 4.31.
Gestione al Fantacalcio: ci ha messo un po' per ingranare, ma all'ottava giornata della scorsa stagione ha soffiato il posto da titolare a Radunovic e potrebbe confermarsi anche nella prossima. Grazie alla filosofia di gioco di Nicola i gol subiti potrebbero diminuire e ciò lo rende un portiere affidabile con cui poter chiudere il proprio pacchetto di estremo difensori. E' una scommessa da fare. Ovviamente, soprattutto in leghe numerose, prendere la sua riserva potrebbe evitarvi rischi di alcun tipo.
Note positive: prezzo basso, affidabile in termini di modificatore (2 insufficienze in 31 partite, 8 volte sopra il 6).
Note negative: l'anno scorso appena 3 clean sheet in 31 partite. Con Nicola la musica potrebbe cambiare, ma non vi aspettate una porta blindatissima."
761,"Statistiche anno 23/24: nella scorsa stagione Audero non è mai andato a voto.
Gestione al Fantacalcio: dopo una stagione passata in panchina all'Inter, arriva al Como per ricoprire il ruolo di estremo difensore titolare. La concorrenza di Reina esiste, e potrebbe arrivare più di qualche panchina, di conseguenza sembrerebbe quasi obbligatorio prenderli in coppia.
Note positive: prezzo basso, affidabile per il modificatore.
Note negative: la concorrenza di Reina potrebbe rivelarsi fastidiosa, potrebbe convenirvi prenderli insieme."
4867,"Statistiche anno 23/24: nella scorsa stagione Turati è andato a voto in 31 occasioni, tutte da titolare. Per lui 1 rigore parato e 58 gol subiti con una MV del 6.19 e una FM del 4.42.
Gestione al Fantacalcio: tanti gol subiti nella scorsa stagione, ma un'ottima annata in termini di media voto. Al Monza parte in leggero vantaggio per il ruolo da titolare, e dunque occhio alla concorrenza di Pizzignacco. Il consiglio è di prenderli insieme per evitare rischi.
Note positive: prezzo basso, molto affidabile per media voto.
Note negative: concorrenza di Pizzignacco fastidioso."
4957,"Statistiche anno 23/24: nella scorsa stagione Montipò è andato a voto in 37 occasioni, tutte da titolare. Per lui 49 gol subiti con una MV del 6.31 e una FM del 4.99.
Gestione al Fantacalcio: arriva dall'ennesima buona stagione in termini di media voto, ma deludente per fantamedia. Non ci aspettiamo che il copione cambi più di tanto, ragion per cui resta un profilo da tenere in alternativa ad almeno altre due opzioni di livello superiore. Al massimo, se utilizzate il modificatore in leghe da 10 partecipanti, può essere la prima alternativa al vostro titolare.
Note positive: portiere da modificatore (21 partite sopra la sufficienza, 1 sola volta sotto il 6).
Note negative: il Verona rischia di prendere parecchi gol anche nella prossima stagione."
6462,"Statistiche anno 23/24: nella scorsa stagione Okoye è andato a voto in 21 occasioni, tutte da titolare. Per lui 25 gol subiti e 2 ammonizioni con una MV del 6.17 e una FM del 4.93.
Gestione al Fantacalcio: partito come riserva, è diventato il portiere titolare dell'Udinese nella scorsa stagione e il copione dovrebbe essere lo stesso anche nella prossima. In vantaggio su Silvestri, ma per essere sicuri potreste anche pensare di prenderli in coppia. Affidabile sotto diversi aspetti, Okoye può essere un buon comprimario per il vostro top di ruolo.
Note positive: affidabile per il modificatore (solo 2 volte insufficiente in 21 partite), ancor di più con la filosofia del nuovo allenatore che potrebbe concedere diversi tiri agli avversari. Prezzo moderato.
Note negative: con la filosofia del nuovo allenatore i clean sheet potrebbero non essere moltissimi."
4425,"Statistiche anno 23/24: nella scorsa stagione Joronen ha disputato 34 partite con 2 ammonizioni, 39 gol subiti e 13 clean sheet.
Gestione al Fantacalcio: dovrebbe ricoprire senza troppi dubbi il ruolo di primo portiere del Venezia. Un estremo difensore che può regalare diverse gioie in termini di modificatore, tutt’altro discorso invece per quel che concerne i clean sheet. Comunque, per noi ultima scelte in termini di copertura.
Note positive: titolare al prezzo minimo.
Note negative: la difesa del Venezia potrebbe anche essere la più battuta della prossima stagione."
6125,"Statistiche anno 23/24: nella scorsa stagione Vasquez ha disputato 20 presenze con 2 ammonizioni, 25 gol subiti e 6 ammonizioni.
Gestione al Fantacalcio: dovrebbe essere il portiere titolare dell’Empoli nella prossima stagione. Parte avanti nelle gerarchie rispetto a Perisan, ma sarà la prima volta per lui in Serie A da protagonista. Occhio dunque anche all’emozione che potrebbe giocare brutti scherzi in alcune occasioni. Non ci aspettiamo una grandissima stagione, soprattutto in termini di gol subiti.
Note positive: lo acquisterete al prezzo minimo molto probabilmente, o poco più
Note negative: occhio alla concorrenza di Perisan che potrebbe diventare fastidiosa nel corso della stagione."
6641,"Statistiche anno 23/24: nella scorsa stagione Suzuki ha disputato 32 partite con 50 gol subiti e 6 clean sheet.
Gestione al Fantacalcio: portiere dal rendimento altalenante. Se si deve far partire l’azione con passaggi veloci, risulta tutt’altro che impeccabile e qualche errore potrebbe arrivare. Bravo e preciso nei lanci lunghi, è un portiere che si esalta quando riceve tanti tiri in porta. Insomma, la sensazione è che potrebbero esserci giornate super positive e altre super negative.
Note positive: nelle giornate giuste può essere anche un buon nome per il modificatore. Si può comprare per affiancarlo ad una coppia di una squadra top.
Note negative: molto altalenante nel rendimento, occhio agli errori in fase di impostazione."
387,"Statistiche anno 23/24: nella scorsa stagione Reina ha disputato 12 partite con 15 gol subiti, 3 clean sheet, 2 ammonizioni e 1 espulsione.
Gestione al Fantacalcio: dall’alto dei suoi 41 anni arriva per il ruolo di uomo spogliatoio in una squadra che torna in Serie A dopo tantissimi anni. Nel mentre potrebbe essere anche il vice di Audero, con il quale però si giocherà comunque le sue occasioni di titolarità. Non è infatti assolutamente scontato che non possa essere lui il numero 1 in avvio.
Note positive: lo acquisterete ad un prezzo molto basso.
Note negative: c’è il rischio concreto che Audero possa essere il primo portiere a lungo andare."
6682,"Statistiche anno 23/24: nella scorsa stagione Pizzignacco ha disputato 40 partite con 4 ammonizioni, 68 gol subiti e 4 clean sheet.
Gestione al Fantacalcio: si giocherà il posto da titolare con Turati, in leggero vantaggio, ma la gerarchia è tutt'altro che scontata. Di conseguenza, il consiglio è di prenderli comunque in blocco per evitare rischi.
Note positive: lo acquisterete al prezzo minimo o poco più.
Note negative: ovviamente qualora Turati lo superasse nelle gerarchie rischierebbe di giocare pochissimo."
4,"Statistiche anno 23/24: nella scorsa stagione Sportiello è andato a voto in 7 occasioni, tutte da titolare. Per lui 11 gol subiti con una MV del 6.14 e una FM del 4.57.
Gestione al Fantacalcio: dovrebbe essere il secondo di Maignan, ma per per 3 mesi circa sarà out per infortunio. Dunque, almeno inizialmente, potreste anche pensare di rimandare il suo acquisto per poi prenderlo a gennaio.
Note positive: quando chiamato in causa si è confermato affidabilissimo (1 insufficienza nella scorsa stagione, 3 volte sopra il 6 in 7 partite).
Note negative: il brutto infortunio rimediato nella pre-season potrebbe influenzare non poco la sua stagione."
188,"Statistiche anno 23/24: nella scorsa stagione Leali è andato a voto in 2 occasioni, tutte da titolare. Per lui 2 gol subiti, 1 clean sheet e 1 ammonizione con una MV del 6.50 e una FM del 5.25.
Gestione al Fantacalcio: nonostante l'addio di Martinez, sarà il secondo portiere anche nella prossima stagione. Di conseguenza, va acquistato solo deciderete di puntare anche sul numero uno del Genoa.
Note positive: è uno dei pochi portieri che andrà via al prezzo base.
Note negative: potrebbe anche chiudere la stagione con 0 presenze all'attivo."
216,"Statistiche anno 23/24: nella scorsa stagione Donnarumma ha disputato 36 partite con 1 ammonizione, 27 gol subiti e 16 clean sheet.
Gestione al Fantacalcio: arriva al Torino con la speranza di ricoprire il ruolo di vice Milinkovic-Savic, ma Paleari sembrerebbe in leggero vantaggio per ricoprire quella posizione. Dunque prenderlo in coppia con Savic potrebbe essere un grosso rischio. Il consiglio è di prenderli in blocco se si vuole coprire il serbo.
Note positive: lo acquisterete al prezzo minimo.
Note negative: c’è il rischio che possa chiudere il campionato con 0 partite a voto."
218,"Statistiche anno 23/24: nella scorsa stagione Perin è andato a voto in 3 occasioni, tutte da titolare. Per lui 1 gol subito con una MV del 6.00 e una FM del 5.67.
Gestione al Fantacalcio: nonostante l'addio di Szczesny, con l'arrivo di Di Gregorio dovrebbe essere ancora il secondo portiere della Juventus. Di conseguenza da prendere solo ed esclusivamente in coppia con l'ex Monza.
Note positive: quando viene chiamato in causa non delude le aspettative.
Note negative: potrebbe essere uno dei pochi secondi portieri che difficilmente andrà via al prezzo minimo."
219,"Statistiche anno 23/24: nella scorsa stagione Sommariva non ha mai giocato.
Gestione al Fantacalcio: dovrebbe essere confermato il suo ruolo da terzo portiere anche nella prossima stagione. Di conseguenza va acquistato solo se avete intenzione di prendere tutto il pacchetto di estremi difensori rossoblù.
Note positive: potrete acquistarlo al prezzo minimo.
Note negative: rischia seriamente di chiudere la propria stagione di nuovo con 0 presenze all'attivo."
511,"Statistiche anno 23/24: nella scorsa stagione Perilli è andato a voto in 1 occasione, da titolare. Per lui 2 gol subiti con una MV del 7.50 e una FM del 5.50.
Gestione al Fantacalcio: dovrebbe esser confermato come vice Montipò anche nella prossima stagione. Di conseguenza va acquistato solo in coppia con il sopra citato.
Note positive: lo acquisterete al prezzo minimo.
Note negative: potrebbe chiudere la stagione con pochissime presenze."
543,"Statistiche anno 23/24: nella scorsa stagione Padelli non ha disputato neanche una partita.
Gestione al Fantacalcio: parliamo del terzo portiere dell'Udinese, dunque da acquistare solo ed esclusivamente in blocco con gli altri due estremi difensori bianconeri.
Note positive: lo acquisterete al prezzo minimo.
Note negative: potrebbe chiudere nuovamente la stagione con 0 presenze all'attivo."
673,"Statistiche anno 23/24: nella scorsa stagione Perisan è andato a voto in 1 occasione, da titolare. Per lui 2 gol subiti con una MV del 5.00 e una FM del 3.00.
Gestione al Fantacalcio: anche nella prossima stagione dovrebbe avere il ruolo di secondo portiere, almeno ai nastri di partenza. Vice di Vasquez.
Note positive: lo acquisterete al prezzo minimo. E' dietro nelle gerarchie, ma non è impossibile pensare che possa ribaltarle.
Note negative: potrebbe anche concludere la propria stagione con 0 presenze all'attivo."
1926,"Statistiche anno 23/24: nella scorsa stagione Di Gennaro è andato a voto in 1 sola occasione, non da titolare. Per lui 0 bonus e malus con una MV e FM del 6.5.
Gestione al Fantacalcio: sarà il terzo portiere dell'Inter anche nella prossima stagione. Di conseguenza il suo acquisto va preso in considerazione solo in blocco con Sommer e Martinez.
Note positive: lo acquisterete al prezzo minimo.
Note negative: potrebbe anche chiudere la stagione con 0 presenze all'attivo."
1930,"Statistiche anno 23/24: nella scorsa stagione Pinsoglio è andato a voto in 1 occasione, non da titolare. Per lui 0 malus e 0 bonus con una MV e una FM del 6.50.
Gestione al Fantacalcio: anche nella prossima stagione sarà il terzo estremo difensore della Juventus, da acquistare dunque solo ed esclusivamente con Di Gregorio e Perin.
Note positive: lo acquisterete al prezzo minimo.
Note negative: potrebbe chiudere la propria stagione con 0 presenze all'attivo."
2178,"Statistiche anno 23/24: nella scorsa stagione Cragno è andato a voto in 3 occasioni, tutte da titolare. Per lui 7 gol subiti con una MV del 6.00 e una FM del 3.67.
Gestione al Fantacalcio: la sua è stata una parabola discendente e a tratti incomprensibile. Da punto fermo per i Fanta con modificatore, a riserva nelle ultime due stagioni. Torna al Monza dove è difficile pensare che possa avere spazio.
Note positive: andrà via al prezzo minimo.
Note negative: rischia seriamente di non essere neanche il secondo portiere dopo l'operazione alla spalla in avvio di stagione."
2297,"Statistiche anno 23/24: Rossi ha collezionato 1 presenza nella scorsa stagione, nell'ultima giornata a gara in corso. Un 6.5 in pagella per lui con clean sheet annesso.
Gestione al Fantacalcio: parliamo di un terzo portiere, da prendere dunque solo ed esclusivamente con gli altri due estremi difensori dell'Atalanta. Dinanzi a lui nelle gerarchie ci sono prima Carnesecchi e poi Musso.
Note positive: quasi sicuramente lo preleverete al prezzo base, assicurandovi così una copertura dell'Atalanta in più con il minimo sforzo.
Note negative: c'è il rischio concreto di sprecare uno slot per un calciatore che potrebbe chiudere la propria stagione a zero presenze."
2401,"Statistiche anno 23/24: nella scorsa stagione Fruchtl ha disputato 36 partite con 38 gol subiti, 15 clean sheet e 3 ammonizioni.
Gestione al Fantacalcio: arriva per ricoprire il ruolo di vice Falcone, ma potrebbe avere qualche occasione dal 1’ in questa stagione. Estremo difensore su cui la società punta tanto.
Note positive: lo acquisterete sicuramente al prezzo minimo.
Note negative: ovviamente il rischio di chiudere l’annata con 0 presenze all’attivo c’è."
2722,"Statistiche anno 23/24: nella scorsa stagione Ravaglia è andato a voto in 6 occasioni, tutte da titolare. Per lui 3 gol subiti, 4 clean sheet e un rigore parato con una MV e una FM del 6.33.
Gestione al Fantacalcio: quando chiamato in causa ha dimostrato di esser all'altezza. Italiano potrebbe decidere di far alternare anche i portieri e lui sarà farsi trovare pronto. In leghe numerose potreste rischiare di spendere anche qualche credito in più del prezzo minimo. Se deciderete di puntare su Skorupski, sarà praticamente obbligatorio assicurarsi anche Ravaglia. Con la Champions League e la Coppa Italia, Italiano potrebbe spesso decidere di alternare i due portieri. Skorupski è il titolare, ma il ballottaggio si ripresenterà in più di un'occasione.
Note positive: molto affidabile anche in chiave modificatore (media voto del 6.33 con una sola insufficienza in 6 partite).
Note negative: il rischio è che Italiano possa puntare fermamente su Skorupski concedendogli al massimo solo qualche presenza in Coppa Italia."
2809,"Statistiche anno 23/24: nella scorsa stagione Vigorito ha disputato una partita.
Gestione al Fantacalcio: sarà l’ultima scelta in termini di portieri in casa Como. Estremo difensore da prendere solo ed esclusivamente in blocco con gli altri portieri del Como.
Note positive: lo acquisterete al prezzo minimo.
Note negative: rischio concreto di chiudere la propria stagione a zero presenze"
2845,"Statistiche anno 23/24: nella scorsa stagione Contini è andato a voto in 1 occasione, non da titolare. Per lui 0 bonus e 0 malus con una MV e una FM del 6.00.
Gestione al Fantacalcio: sarà il terzo portiere del Napoli, dietro nelle gerarchie sia a Meret che a Caprile.
Note positive: sarà acquistato al prezzo minimo.
Note negative: potrebbe chiudere la stagione con 0 presenze all'attivo."
4270,"Statistiche anno 23/24: nella scorsa stagione Rui Patricio è andato a voto in 23 occasioni, tutte da titolare. Per lui 27 gol subiti e 1 ammonizione con una MV del 5.98 e una FM del 4.78.
Gestione al Fantacalcio: approda a Bergamo per ricoprire il ruolo di vice Carnesecchi. Dunque dovete considerare il suo acquisto solo ed esclusivamente in coppia con il primo portiere nerazzurro.
Note positive: lo acquisterete probabilmente al prezzo minimo.
Note negative: rischia di chiudere la stagione con 0 presenze all'attivo."
4351,"Statistiche anno 23/24: nella scorsa stagione Brancolini non è mai andato a voto al Fantacalcio.
Gestione al Fantacalcio: dovrebbe esser arrivato per ricoprire il ruolo di terzo portiere nella prossima stagione. Dunque, da acquistare solo ed esclusivamente con gli altri due estremi difensori dei toscani.
Note positive: lo acquisterete al prezzo minimo.
Note negative: potrebbe chiudere la stagione anche con 0 partite a voto."
4360,"Statistiche anno 23/24: nella scorsa stagione Caprile è andato a voto in 23 occasioni, tutte da titolare. Per lui 27 gol subiti e 1 rigore parato con una MV del 6.26 e una FM del 5.22.
Gestione al Fantacalcio: dopo un'ottima stagione all'Empoli tenta il salto di livello con il Napoli. Parte dietro Meret, ma durante la stagione può ritagliarsi spazio importante e provare anche a sovvertire le gerarchie. Sicuramente consigliamo di prenderli in coppia per evitare rischi di alcun tipo.
Note positive: prezzo basso. Affidabile in chiave modificatore (nella scorsa stagione 2 insufficienze, 10 volte sopra il 6).
Note negative: va affiancato obbligatoriamente a Meret, potrebbe anche chiudere la stagione con 0 presenze."
4491,"Statistiche anno 23/24: nella scorsa stagione Berardi non è mai andato a voto.
Gestione al Fantacalcio: dovrebbe essere il terzo portiere del Verona anche nella prossima stagione. Dunque va acquistato solo ed esclusivamente con gli altri due estremi difensori degli scaligeri.
Note positive: lo acquisterete al prezzo minimo.
Note negative: potrebbe chiudere la propria stagione nuovamente con 0 presenze all'attivo."
4929,"Statistiche anno 23/24: nella scorsa stagione Ciocci non è mai andato a voto al Fantacalcio.
Gestione al Fantacalcio: dovrebbe ricoprire il ruolo di terzo estremo difensore del Cagliari nella prossima stagione. Dunque da prendere solo ed esclusivamente con gli altri due portieri rossoblù.
Note positive: lo acquisterete al prezzo minimo.
Note negative: potrebbe chiudere la stagione con 0 presenze."
5116,"Statistiche anno 23/24: nella scorsa stagione Martinez è andato a voto in 36 occasioni, tutte da titolare. Per lui 43 gol subiti, 1 rigore parato, 1 espulsione e 2 ammonizioni con una MV del 6.14 e una FM del 4.97.
Gestione al Fantacalcio: reduce da una stagione molto soddisfacente, passa all'Inter per il famoso salto di livello. Tra le fila dei nerazzurri arriva però per ricoprire il ruolo di vice Sommer. Potrebbe ritagliarsi un po' di spazio durante la prossima annata, ma al Fanta deve essere acquistato per forza in coppia con lo svizzero.
Note positive: qualora giocasse al posto di Sommer, avreste comunque un portiere molto affidabile in campo, anche in chiave modificatore.
Note negative: rischia di chiudere il campionato con pochissime presenze."
5320,"Statistiche anno 23/24: nella scorsa stagione Paleari ha disputato 41 partite con 4 ammonizioni, 36 gol subiti e 18 clean sheet.
Gestione al Fantacalcio: arriva al Torino con la speranza di ricoprire il ruolo di vice Milinkovic-Savic. Dunque, va affiancato obbligatoriamente al serbo, ma occhio anche alla concorrenza di Donnarumma.
Note positive: lo acquisterete al prezzo minimo.
Note negative: c’è il rischio che possa chiudere il campionato con 0 partite a voto."
5384,"Statistiche anno 23/24: nella scorsa stagione Ryan ha disputato 39 partite con 2 ammonizioni, 44 gol subiti e 17 clean sheet.
Gestione al Fantacalcio: arriva alla Roma per prendere il posto di Rue Patricio e fungere da secondo portiere alle spalle di Svilar. Di conseguenza, va acquistato solo in coppia con quest’ultimo.
Note positive: lo acquisterete al prezzo minimo.
Note negative: rischia di non andare a voto praticamente mai."
5521,"Statistiche anno 23/24: nella scorsa stagione Bertinato ha disputato 9 partite con 1 ammonizione, 10 gol subiti e 2 clean sheet.
Gestione al Fantacalcio: non sembra essere nei piani dell'allenatore del Venezia.
Note positive: lo acquisterete al prezzo minimo.
Note negative: chiuderà la propria stagione con 0 presenze all’attivo."
